year,primary_rurality,death_status,rows,lower,upper,population
2019,metro_large,exact,115,3008.0,3008.0,140748867.0
2019,metro_large,suppressed_1_9,231,231.0,2079.0,41234422.0
2019,metro_large,zero,95,0.0,0.0,3445923.0
2019,metro_other,exact,53,815.0,815.0,25046886.0
2019,metro_other,suppressed_1_9,475,475.0,4275.0,61771174.0
2019,metro_other,zero,210,0.0,0.0,6738663.0
2019,nonmetro_adjacent,exact,1,13.0,13.0,82124.0
2019,nonmetro_adjacent,suppressed_1_9,501,501.0,4509.0,20241430.0
2019,nonmetro_adjacent,zero,542,0.0,0.0,10576320.0
2019,nonmetro_nonadjacent,suppressed_1_9,281,281.0,2529.0,7866886.0
2019,nonmetro_nonadjacent,zero,627,0.0,0.0,6889848.0
2019,,exact,3,55.0,55.0,2689809.0
2019,,suppressed_1_9,6,6.0,54.0,889655.0
2019,,zero,2,0.0,0.0,17516.0
2020,metro_large,exact,118,3770.0,3770.0,143387980.0
2020,metro_large,suppressed_1_9,242,242.0,2178.0,39902579.0
2020,metro_large,zero,81,0.0,0.0,2887333.0
2020,metro_other,exact,82,1233.0,1233.0,34971655.0
2020,metro_other,suppressed_1_9,472,472.0,4248.0,53147585.0
2020,metro_other,zero,184,0.0,0.0,5974950.0
2020,nonmetro_adjacent,exact,2,25.0,25.0,146665.0
2020,nonmetro_adjacent,suppressed_1_9,549,549.0,4941.0,21356660.0
2020,nonmetro_adjacent,zero,493,0.0,0.0,9395324.0
2020,nonmetro_nonadjacent,exact,2,23.0,23.0,151244.0
2020,nonmetro_nonadjacent,suppressed_1_9,328,328.0,2952.0,8686768.0
2020,nonmetro_nonadjacent,zero,578,0.0,0.0,5886630.0
2020,,exact,3,53.0,53.0,2683600.0
2020,,suppressed_1_9,6,6.0,54.0,774540.0
2020,,zero,2,0.0,0.0,130610.0
2021,metro_large,exact,132,3991.0,3991.0,148791213.0
2021,metro_large,suppressed_1_9,238,238.0,2142.0,36282209.0
2021,metro_large,zero,71,0.0,0.0,2529831.0
2021,metro_other,exact,91,1493.0,1493.0,37431856.0
2021,metro_other,suppressed_1_9,467,467.0,4203.0,52714629.0
2021,metro_other,zero,180,0.0,0.0,4869246.0
2021,nonmetro_adjacent,exact,3,30.0,30.0,276513.0
2021,nonmetro_adjacent,suppressed_1_9,582,582.0,5238.0,22660154.0
2021,nonmetro_adjacent,zero,459,0.0,0.0,7978187.0
2021,nonmetro_nonadjacent,suppressed_1_9,314,314.0,2826.0,8612535.0
2021,nonmetro_nonadjacent,zero,594,0.0,0.0,6110258.0
2021,,exact,3,69.0,69.0,2720322.0
2021,,suppressed_1_9,7,7.0,63.0,907221.0
2021,,zero,1,0.0,0.0,9571.0
2022,metro_large,exact,129,4360.0,4360.0,147698381.0
2022,metro_large,suppressed_1_9,258,258.0,2322.0,38503928.0
2022,metro_large,zero,54,0.0,0.0,2063361.0
2022,metro_other,exact,95,1596.0,1596.0,38699288.0
2022,metro_other,suppressed_1_9,482,482.0,4338.0,53486945.0
2022,metro_other,zero,161,0.0,0.0,3517720.0
2022,nonmetro_adjacent,suppressed_1_9,604,604.0,5436.0,23459545.0
2022,nonmetro_adjacent,zero,440,0.0,0.0,7502160.0
2022,nonmetro_nonadjacent,exact,1,10.0,10.0,82959.0
2022,nonmetro_nonadjacent,suppressed_1_9,351,351.0,3159.0,9055408.0
2022,nonmetro_nonadjacent,zero,556,0.0,0.0,5560397.0
2022,,exact,3,72.0,72.0,0.0
2022,,suppressed_1_9,6,6.0,54.0,22982.0
2022,,zero,2,0.0,0.0,8278.0
2023,metro_large,exact,135,4285.0,4285.0,150582340.0
2023,metro_large,suppressed_1_9,233,233.0,2097.0,36032252.0
2023,metro_large,zero,73,0.0,0.0,2536487.0
2023,metro_other,exact,110,1762.0,1762.0,42752551.0
2023,metro_other,suppressed_1_9,464,464.0,4176.0,49559549.0
2023,metro_other,zero,164,0.0,0.0,4040327.0
2023,nonmetro_adjacent,exact,3,33.0,33.0,315073.0
2023,nonmetro_adjacent,suppressed_1_9,607,607.0,5463.0,23062675.0
2023,nonmetro_adjacent,zero,434,0.0,0.0,7686701.0
2023,nonmetro_nonadjacent,exact,1,14.0,14.0,66127.0
2023,nonmetro_nonadjacent,suppressed_1_9,347,347.0,3123.0,9139814.0
2023,nonmetro_nonadjacent,zero,560,0.0,0.0,5492945.0
2023,,exact,3,85.0,85.0,0.0
2023,,suppressed_1_9,6,6.0,54.0,8001.0
2023,,zero,2,0.0,0.0,22877.0
2024,metro_large,exact,139,4440.0,4440.0,156893458.0
2024,metro_large,suppressed_1_9,243,243.0,2187.0,34039633.0
2024,metro_large,zero,59,0.0,0.0,1895305.0
2024,metro_other,exact,113,1812.0,1812.0,44210601.0
2024,metro_other,suppressed_1_9,461,461.0,4149.0,49397283.0
2024,metro_other,zero,164,0.0,0.0,3985074.0
2024,nonmetro_adjacent,exact,5,58.0,58.0,693171.0
2024,nonmetro_adjacent,suppressed_1_9,596,596.0,5364.0,22869666.0
2024,nonmetro_adjacent,zero,443,0.0,0.0,7682746.0
2024,nonmetro_nonadjacent,exact,1,12.0,12.0,66410.0
2024,nonmetro_nonadjacent,suppressed_1_9,332,332.0,2988.0,8716130.0
2024,nonmetro_nonadjacent,zero,575,0.0,0.0,5955901.0
2024,,exact,4,100.0,100.0,0.0
2024,,suppressed_1_9,6,6.0,54.0,21306.0
2024,,zero,1,0.0,0.0,9235.0
