table,urbanization,year,death_count_status,rows,lower,upper
COVID co-mention by urbanization-year,Large Central Metro,2019,zero,1,0.0,0.0
COVID co-mention by urbanization-year,Large Central Metro,2020,exact,1,172.0,172.0
COVID co-mention by urbanization-year,Large Central Metro,2021,exact,1,161.0,161.0
COVID co-mention by urbanization-year,Large Central Metro,2022,exact,1,139.0,139.0
COVID co-mention by urbanization-year,Large Central Metro,2023,exact,1,61.0,61.0
COVID co-mention by urbanization-year,Large Central Metro,2024,exact,1,33.0,33.0
COVID co-mention by urbanization-year,Large Fringe Metro,2019,zero,1,0.0,0.0
COVID co-mention by urbanization-year,Large Fringe Metro,2020,exact,1,106.0,106.0
COVID co-mention by urbanization-year,Large Fringe Metro,2021,exact,1,114.0,114.0
COVID co-mention by urbanization-year,Large Fringe Metro,2022,exact,1,88.0,88.0
COVID co-mention by urbanization-year,Large Fringe Metro,2023,exact,1,44.0,44.0
COVID co-mention by urbanization-year,Large Fringe Metro,2024,exact,1,32.0,32.0
COVID co-mention by urbanization-year,Medium Metro,2019,zero,1,0.0,0.0
COVID co-mention by urbanization-year,Medium Metro,2020,exact,1,114.0,114.0
COVID co-mention by urbanization-year,Medium Metro,2021,exact,1,115.0,115.0
COVID co-mention by urbanization-year,Medium Metro,2022,exact,1,113.0,113.0
COVID co-mention by urbanization-year,Medium Metro,2023,exact,1,43.0,43.0
COVID co-mention by urbanization-year,Medium Metro,2024,exact,1,31.0,31.0
COVID co-mention by urbanization-year,Micropolitan (Nonmetro),2019,zero,1,0.0,0.0
COVID co-mention by urbanization-year,Micropolitan (Nonmetro),2020,exact,1,70.0,70.0
COVID co-mention by urbanization-year,Micropolitan (Nonmetro),2021,exact,1,53.0,53.0
COVID co-mention by urbanization-year,Micropolitan (Nonmetro),2022,exact,1,56.0,56.0
COVID co-mention by urbanization-year,Micropolitan (Nonmetro),2023,exact,1,19.0,19.0
COVID co-mention by urbanization-year,Micropolitan (Nonmetro),2024,exact,1,23.0,23.0
COVID co-mention by urbanization-year,NonCore (Nonmetro),2019,zero,1,0.0,0.0
COVID co-mention by urbanization-year,NonCore (Nonmetro),2020,exact,1,43.0,43.0
COVID co-mention by urbanization-year,NonCore (Nonmetro),2021,exact,1,44.0,44.0
COVID co-mention by urbanization-year,NonCore (Nonmetro),2022,exact,1,39.0,39.0
COVID co-mention by urbanization-year,NonCore (Nonmetro),2023,exact,1,15.0,15.0
COVID co-mention by urbanization-year,NonCore (Nonmetro),2024,exact,1,12.0,12.0
COVID co-mention by urbanization-year,Not Available,2019,zero,1,0.0,0.0
COVID co-mention by urbanization-year,Not Available,2020,suppressed_1_9,1,1.0,9.0
COVID co-mention by urbanization-year,Not Available,2021,suppressed_1_9,1,1.0,9.0
COVID co-mention by urbanization-year,Not Available,2022,suppressed_1_9,1,1.0,9.0
COVID co-mention by urbanization-year,Not Available,2023,suppressed_1_9,1,1.0,9.0
COVID co-mention by urbanization-year,Not Available,2024,suppressed_1_9,1,1.0,9.0
COVID co-mention by urbanization-year,Small Metro,2019,zero,1,0.0,0.0
COVID co-mention by urbanization-year,Small Metro,2020,exact,1,42.0,42.0
COVID co-mention by urbanization-year,Small Metro,2021,exact,1,61.0,61.0
COVID co-mention by urbanization-year,Small Metro,2022,exact,1,42.0,42.0
COVID co-mention by urbanization-year,Small Metro,2023,exact,1,15.0,15.0
COVID co-mention by urbanization-year,Small Metro,2024,exact,1,18.0,18.0
