primary_rurality,svi_quartile,counties,person_years,lower,midpoint,upper,exact_deaths,suppressed,zero,rate_lower_per_100k,rate_midpoint_per_100k,rate_upper_per_100k
metro_large,Q1_lowest,156,164898775.0,3490.0,3730.0,3970.0,3430.0,60,2,2.116449925113149,2.2619937595048842,2.407537593896619
metro_large,Q2,120,251884950.0,5983.0,6123.0,6263.0,5948.0,35,1,2.3752907825576717,2.4308717134548927,2.4864526443521138
metro_large,Q3,90,275290257.0,7143.0,7231.0,7319.0,7121.0,22,2,2.5947158747430716,2.6266821349947014,2.6586483952463307
metro_large,Q4_highest,75,437381520.0,11785.0,11829.0,11873.0,11774.0,11,0,2.6944439719355313,2.7045038391196776,2.7145637063038235
metro_other,Q1_lowest,167,70851577.0,1657.0,2013.0,2369.0,1568.0,89,18,2.3386917696976597,2.8411505928795346,3.3436094160614096
metro_other,Q2,187,135544240.0,3848.0,4152.0,4456.0,3772.0,76,4,2.838925505060193,3.063206522091975,3.2874875391237577
metro_other,Q3,205,197434582.0,6424.0,6632.0,6840.0,6372.0,52,8,3.2537359640470687,3.3590873153113567,3.4644386665756457
metro_other,Q4_highest,179,168485583.0,5614.0,5802.0,5990.0,5567.0,47,3,3.3320358335941416,3.4436180809606722,3.555200328327202
nonmetro_adjacent,Q1_lowest,213,30858789.0,600.0,1224.0,1848.0,444.0,156,29,1.9443407192680178,3.966455067306757,5.988569415345495
nonmetro_adjacent,Q2,245,46875435.0,1053.0,1729.0,2405.0,884.0,169,17,2.246379153601455,3.6884991040616475,5.130619054521841
nonmetro_adjacent,Q3,275,53048572.0,1352.0,2108.0,2864.0,1163.0,189,16,2.5486077174706985,3.9737167665889293,5.39882581570716
nonmetro_adjacent,Q4_highest,311,55202318.0,1760.0,2576.0,3392.0,1556.0,204,15,3.1882719127845323,4.666470708711906,6.14466950463928
nonmetro_nonadjacent,Q1_lowest,248,14903121.0,239.0,783.0,1327.0,103.0,136,104,1.6036909315840622,5.253933052009709,8.904175172435357
nonmetro_nonadjacent,Q2,231,21670116.0,381.0,997.0,1613.0,227.0,154,61,1.758181635945096,4.600806013221156,7.443430390497218
nonmetro_nonadjacent,Q3,211,24959779.0,566.0,1198.0,1830.0,408.0,158,29,2.2676482832640463,4.799721984717894,7.33179568617174
nonmetro_nonadjacent,Q4_highest,218,26807244.0,657.0,1301.0,1945.0,496.0,161,26,2.4508300816003317,4.853165808465802,7.255501535331271
,,11,10915523.0,558.0,570.0,582.0,555.0,3,0,5.111985930495497,5.221921111796475,5.331856293097454
